Model,Scenario,Format,Success,RulesFired,GenerationTimeMs,ErrorMessage
granite-code:20b,Order Discount - Tiered,DRL,false,0,7748,"Validation exception: DRL validation failed: ERROR: [ERR 107] Line 1:0 mismatched input 'DRL' expecting one of the following tokens: '[package, unit, import, global, declare, function, rule, query]'.
ERROR: Parser returned a null Package
ERROR: Verifier could not form a PackageDescr from the resources that it was trying to verify."
granite-code:20b,Order Discount - Tiered,YAML,true,1,8713,
granite-code:20b,Order Discount - Tiered,ENGLISH,true,1,17670,
granite-code:20b,Simple Calculation,DRL,false,0,3348,"Validation exception: DRL validation failed: ERROR: [ERR 107] Line 1:0 mismatched input 'DRL' expecting one of the following tokens: '[package, unit, import, global, declare, function, rule, query]'.
ERROR: Parser returned a null Package
ERROR: Verifier could not form a PackageDescr from the resources that it was trying to verify."
granite-code:20b,Simple Calculation,YAML,false,0,3120,"Execution failed: Failed to execute DRL with JSON facts: DRL compilation errors: [Message [id=1, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=10, column=0
   text=Rule Compilation error The method setTaxAmount(double) in the type Invoice is not applicable for the arguments (String)
The method setTotal(double) in the type Invoice is not applicable for the arguments (String)]]"
granite-code:20b,Simple Calculation,ENGLISH,true,1,6210,
granite-code:20b,Email Validation,DRL,false,0,2367,"Validation exception: DRL validation failed: ERROR: [ERR 107] Line 1:0 mismatched input 'DRL' expecting one of the following tokens: '[package, unit, import, global, declare, function, rule, query]'.
ERROR: Parser returned a null Package
ERROR: Verifier could not form a PackageDescr from the resources that it was trying to verify."
granite-code:20b,Email Validation,YAML,false,0,2755,"Execution failed: Failed to execute DRL with JSON facts: DRL compilation errors: [Message [id=1, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=8, column=0
   text=Rule Compilation error $emailAddress cannot be resolved to a variable
The method setValid(boolean) is undefined for the type Object]]"
granite-code:20b,Email Validation,ENGLISH,false,0,4143,"ERROR: [ERR 102] Line 8:49 mismatched input '""""' in rule ""Set Valid flag to true if email contains ""
ERROR: Parser returned a null Package
ERROR: Verifier could not form a PackageDescr from the resources that it was trying to verify."
granite-code:20b,Password Strength,DRL,true,1,5379,
granite-code:20b,Password Strength,YAML,false,0,5912,"Execution failed: Failed to execute DRL with JSON facts: DRL compilation errors: [Message [id=1, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=16, column=0
   text=Duplicate rule name: Password Strength Check], Message [id=2, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=23, column=0
   text=Duplicate rule name: Password Strength Check]]"
granite-code:20b,Password Strength,ENGLISH,true,1,8040,
granite-code:20b,Age Classification,DRL,true,1,7124,
granite-code:20b,Age Classification,YAML,true,1,8727,
granite-code:20b,Age Classification,ENGLISH,true,1,11128,
granite-code:20b,Shipping Cost,DRL,false,0,5653,"ERROR: Field 'total' used in rule but not declared in definition of type 'ShippingOrder'
ERROR: Field 'total' used in rule but not declared in definition of type 'ShippingOrder'
ERROR: Field 'total' used in rule but not declared in definition of type 'ShippingOrder'
ERROR: Field 'total' used in rule but not declared in definition of type 'ShippingOrder'"
granite-code:20b,Shipping Cost,YAML,true,1,6291,
granite-code:20b,Shipping Cost,ENGLISH,true,1,12299,
granite-code:20b,Loyalty Points,DRL,false,0,2660,Code looks good
granite-code:20b,Loyalty Points,YAML,false,0,2423,"Execution failed: Failed to execute DRL with JSON facts: DRL compilation errors: [Message [id=1, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=9, column=0
   text=Rule Compilation error The method setPoints(int) in the type Purchase is not applicable for the arguments (String)]]"
granite-code:20b,Loyalty Points,ENGLISH,false,0,6744,Execution successful
granite-code:20b,Inventory Alert,DRL,false,0,2773,ERROR: Field 'this' used in rule but not declared in definition of type 'Product'
granite-code:20b,Inventory Alert,YAML,false,0,2258,"Execution failed: Failed to execute DRL with JSON facts: DRL compilation errors: [Message [id=1, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=11, column=0
   text=Rule Compilation error $this cannot be resolved to a variable
The method setLowStock(boolean) is undefined for the type Object]]"
granite-code:20b,Inventory Alert,ENGLISH,true,1,4127,
granite-code:20b,Loan Eligibility,DRL,false,0,3748,"Validation exception: DRL validation failed: ERROR: [ERR 107] Line 1:0 mismatched input 'DRL' expecting one of the following tokens: '[package, unit, import, global, declare, function, rule, query]'.
ERROR: Parser returned a null Package
ERROR: Verifier could not form a PackageDescr from the resources that it was trying to verify."
granite-code:20b,Loan Eligibility,YAML,false,0,3217,"Execution failed: Failed to execute DRL with JSON facts: DRL compilation errors: [Message [id=1, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=11, column=0
   text=Rule Compilation error $this cannot be resolved to a variable
The method setEligible(boolean) is undefined for the type Object]]"
granite-code:20b,Loan Eligibility,ENGLISH,true,1,5621,
granite-code:20b,Insurance Premium Tier,DRL,true,1,6207,
granite-code:20b,Insurance Premium Tier,YAML,true,1,7341,
granite-code:20b,Insurance Premium Tier,ENGLISH,true,1,12751,
granite-code:20b,Tax Bracket,DRL,true,1,5935,
granite-code:20b,Tax Bracket,YAML,true,1,7385,
granite-code:20b,Tax Bracket,ENGLISH,true,1,11595,
