Model,Scenario,Format,Success,RulesFired,GenerationTimeMs,ErrorMessage
qwen3,Order Fraud Detection,DRL,false,0,10044,"Test case 'New Account High Value' failed: Failed to execute DRL with JSON facts: DRL compilation errors: [Message [id=1, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=14, column=0
   text=Rule Compilation error The method modify(Order) is undefined for the type Rule_Flag_new_account_with_high_value_order2120369848
Syntax error, insert "";"" to complete Statement
The method setSuspicious(boolean) is undefined for the type Rule_Flag_new_account_with_high_value_order2120369848
The method setSuspiciousReason(String) is undefined for the type Rule_Flag_new_account_with_high_value_order2120369848], Message [id=2, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=34, column=0
   text=Rule Compilation error The method modify(Order) is undefined for the type Rule_Flag_multiple_failed_payment_attempts885559767
Syntax error, insert "";"" to complete Statement
The method setSuspicious(boolean) is undefined for the type Rule_Flag_multiple_failed_payment_attempts885559767
The method setSuspiciousReason(String) is undefined for the type Rule_Flag_multiple_failed_payment_attempts885559767], Message [id=3, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=24, column=0
   text=Rule Compilation error The method modify(Order) is undefined for the type Rule_Flag_mismatched_addresses_with_high_value_order1109407214
Syntax error, insert "";"" to complete Statement
The method setSuspicious(boolean) is undefined for the type Rule_Flag_mismatched_addresses_with_high_value_order1109407214
The method setSuspiciousReason(String) is undefined for the type Rule_Flag_mismatched_addresses_with_high_value_order1109407214]]"
qwen3,Password Strength,DRL,true,1,6233,
qwen3,Priority Assignment,DRL,true,1,8384,
qwen3,Senior Citizen Discount,DRL,true,2,7063,
qwen3,Shipping Cost,DRL,true,1,10765,
qwen3,Shipping Method Priority,DRL,false,0,20485,Validation exception: DRL code cannot be null or empty
qwen3,Simple Calculation,DRL,false,0,9999,"Test case 'Calculate Tax' failed: Failed to execute DRL with JSON facts: DRL compilation errors: [Message [id=1, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=10, column=0
   text=Rule Compilation error The method modify(Invoice) is undefined for the type Rule_CalculateTaxAndTotal1567200792
Syntax error, insert "";"" to complete Statement
The method setTaxAmount(double) is undefined for the type Rule_CalculateTaxAndTotal1567200792
The method setTotal(double) is undefined for the type Rule_CalculateTaxAndTotal1567200792]]"
qwen3,Status Transition,DRL,true,1,4659,
qwen3,Subscription Renewal,DRL,true,5,10313,
qwen3,Tax Bracket,DRL,true,1,7060,
qwen3,Tax Calculation Chain,DRL,false,0,20348,Validation exception: DRL code cannot be null or empty
qwen3,Order Discount - Tiered,DRL,true,1,5992,
granite4,Adult Validation,DRL,false,0,6018,"ERROR: [ERR 102] Line 4:7 mismatched input '{'
ERROR: Parser returned a null Package
ERROR: Verifier could not form a PackageDescr from the resources that it was trying to verify."
granite4,Age Classification,DRL,true,4,1252,
granite4,Age Validation Simple,DRL,false,0,609,"ERROR: [ERR 102] Line 3:15 mismatched input '{'
ERROR: Parser returned a null Package
ERROR: Verifier could not form a PackageDescr from the resources that it was trying to verify."
granite4,Order Discount - Basic,DRL,false,0,664,"ERROR: [ERR 102] Line 4:10 mismatched input '{'
ERROR: Parser returned a null Package
ERROR: Verifier could not form a PackageDescr from the resources that it was trying to verify."
granite4,Bulk Order Discount,DRL,false,0,796,"Test case 'Qualifies for VIP' failed: Failed to execute DRL with JSON facts: DRL compilation errors: [Message [id=1, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=11, column=0
   text=Rule Compilation error The method modify(Customer) is undefined for the type Rule_Upgrade_to_VIP_if_high_spender1666589094
Syntax error, insert "";"" to complete Statement
The method setIsVip(boolean) is undefined for the type Rule_Upgrade_to_VIP_if_high_spender1666589094
The method setDiscountPercent(int) is undefined for the type Rule_Upgrade_to_VIP_if_high_spender1666589094
Syntax error, insert "";"" to complete Statement]]"
granite4,Cart Validation,DRL,false,0,1411,"Test case 'Out of Stock Rejection' failed: Failed to execute DRL with JSON facts: DRL compilation errors: [Message [id=1, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=14, column=0
   text=Rule Compilation error The method modify(ShoppingCart) is undefined for the type Rule_Validate_shopping_cart_$u45$_out_of_stock762510333
Syntax error, insert "";"" to complete Statement
The method setRejected(boolean) is undefined for the type Rule_Validate_shopping_cart_$u45$_out_of_stock762510333
The method setRejectionReason(String) is undefined for the type Rule_Validate_shopping_cart_$u45$_out_of_stock762510333
Syntax error, insert "";"" to complete Statement]]"
granite4,Credit Card Approval,DRL,false,0,1944,"Test case 'Premium Card Approval' failed: Failed to execute DRL with JSON facts: DRL compilation errors: [Message [id=1, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=12, column=0
   text=Rule Compilation error The method modify(CreditCardApplication) is undefined for the type Rule_Approve_Premium_Card379567768
Syntax error, insert "";"" to complete Statement
The method setDecision(String) is undefined for the type Rule_Approve_Premium_Card379567768
The method setCardType(String) is undefined for the type Rule_Approve_Premium_Card379567768
Syntax error, insert "";"" to complete Statement], Message [id=2, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=19, column=0
   text=Rule Compilation error The method modify(CreditCardApplication) is undefined for the type Rule_Approve_Standard_Card1656636094
Syntax error, insert "";"" to complete Statement
The method setDecision(String) is undefined for the type Rule_Approve_Standard_Card1656636094
The method setCardType(String) is undefined for the type Rule_Approve_Standard_Card1656636094
Syntax error, insert "";"" to complete Statement]]"
granite4,Email Validation,DRL,false,0,417,"ERROR: [ERR 102] Line 5:10 mismatched input 'String'
ERROR: [ERR 102] Line 6:10 mismatched input 'boolean'
ERROR: Parser returned a null Package
ERROR: Verifier could not form a PackageDescr from the resources that it was trying to verify."
granite4,Grade Calculation,DRL,false,0,1995,"ERROR: [ERR 102] Line 12:4 mismatched input 'query' in rule ""Assign Grade A""
ERROR: [ERR 102] Line 12:9 mismatched input ':' in query
ERROR: [ERR 102] Line 20:4 mismatched input 'query' in rule ""Assign Grade B""
ERROR: [ERR 102] Line 20:9 mismatched input ':' in query
ERROR: [ERR 102] Line 28:4 mismatched input 'query' in rule ""Assign Grade C""
ERROR: [ERR 102] Line 28:9 mismatched input ':' in query
ERROR: [ERR 102] Line 36:4 mismatched input 'query' in rule ""Assign Grade D""
ERROR: [ERR 102] Line 36:9 mismatched input ':' in query
ERROR: [ERR 102] Line 44:4 mismatched input 'query' in rule ""Assign Grade F""
ERROR: [ERR 102] Line 44:9 mismatched input ':' in query
ERROR: Parser returned a null Package
ERROR: Verifier could not form a PackageDescr from the resources that it was trying to verify."
granite4,Insurance Premium Tier,DRL,false,0,1752,"ERROR: [ERR 102] Line 11:4 mismatched input 'ruleflow' in rule ""Smoker Premium Tier""
ERROR: [ERR 102] Line 12:9 mismatched input '=' in query
ERROR: [ERR 102] Line 22:4 mismatched input 'ruleflow' in rule ""Non-Smoker Age Tier""
ERROR: [ERR 102] Line 23:9 mismatched input '=' in query
ERROR: [ERR 102] Line 32:4 mismatched input 'ruleflow' in rule ""Non-Smoker Age Tier or Equal""
ERROR: [ERR 102] Line 33:9 mismatched input '=' in query
ERROR: Parser returned a null Package
ERROR: Verifier could not form a PackageDescr from the resources that it was trying to verify."
